base_scenario,n_replicates,n_finished_target,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T,fraction_t_zone_binomial_p_value_below_0p05,total_time_for_analyzed_1000_deaths_after_burnin_mean,total_time_for_analyzed_1000_deaths_after_burnin_std,total_time_for_analyzed_1000_deaths_after_burnin_min,total_time_for_analyzed_1000_deaths_after_burnin_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,t_zone_observed_deaths_mean,t_zone_observed_deaths_std,t_zone_observed_deaths_min,t_zone_observed_deaths_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,accepted_activations_total_mean,accepted_activations_total_std,accepted_activations_total_min,accepted_activations_total_max
deathERK_ld0p5_bdR1p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,1.0,0.4,1.0,214.8373322495549,12.977176286217805,194.84779429580723,226.28600520074892,4.668851464813132,0.29346269659321256,4.419186237844683,5.132211034844228,596.8,7.429670248402684,590.0,608.0,0.5968,0.00742967024840269,0.59,0.608,1.8510483916901304,0.05766537282706688,1.7987804878048776,1.9387755102040811,7.410065142388675e-21,1.0017345705410407e-20,2.234072913876237e-25,1.8383335117437698e-20,14604.2,852.5803187970034,13482.0,15871.0,48997.8,2762.7523776118624,45233.0,51782.0
deathERK_ld0p5_bdR1p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,1.0,0.8,1.0,159.04552714621738,13.871475848162273,146.88720077961867,180.51874099194245,6.324170150807761,0.5264764159258899,5.5395910391632714,6.807945108167348,629.2,34.56443258611372,600.0,684.0,0.6292,0.034564432586113754,0.6,0.684,2.146572716263339,0.3423839568230476,1.8749999999999996,2.705696202531645,8.68064654902019e-24,1.7727306215047502e-23,9.86935278939553e-53,4.030108246722848e-23,10349.6,781.6327782277302,9269.0,11448.0,36140.8,1440.7019816742115,34057.0,37599.0
deathERK_ld0p5_bdR1p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,1.0,1.6,1.0,116.03574069260287,6.605762942563467,105.90939820046461,121.96227837890403,8.641340051100238,0.5120521893058978,8.199256469227876,9.442032690122614,644.8,33.37214407256447,594.0,686.0,0.6447999999999999,0.0333721440725645,0.594,0.686,2.2934575646675666,0.3249001014030986,1.8288177339901475,2.7308917197452227,3.335846566821912e-22,7.459179685922912e-22,1.3308603783045354e-53,1.667923283410924e-21,7281.6,230.93354022315597,6954.0,7488.0,27200.6,883.1405890343848,26414.0,28419.0
deathERK_ld0p5_bdR2p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,2.0,0.4,1.0,119.73319705288361,7.313789148254018,108.42115745127579,126.73698399837805,8.377878003604161,0.532183251634705,7.8903566145522115,9.223292053946183,634.0,24.61706725018234,607.0,659.0,0.6340000000000001,0.024617067250182364,0.607,0.659,2.1774912571756047,0.22662871231805098,1.9306615776081422,2.4156891495601167,1.314688345122419e-25,1.9480231161855355e-25,1.6021175079255092e-42,4.339368811735295e-25,7638.6,487.322583100763,6833.0,8072.0,28269.6,921.1611151150487,27191.0,29716.0
deathERK_ld0p5_bdR2p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,2.0,0.8,1.0,99.64331794952598,8.540319595377095,88.43972734396607,108.79324925589674,10.096776275138959,0.8904083768139313,9.191746793478536,11.307135718665538,624.4,30.11312006418465,579.0,661.0,0.6244,0.030113120064184675,0.579,0.661,2.094777114144942,0.26220794486591364,1.7191211401425173,2.437315634218289,1.929586228449655e-18,4.314685974997708e-18,2.708210341407194e-43,9.647931141777522e-18,6259.4,447.67655734916474,5637.0,6759.0,23623.6,488.0085040242639,23027.0,24127.0
deathERK_ld0p5_bdR2p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,2.0,1.6,1.0,85.45479965267863,6.156636902444756,80.95650032255062,96.11923963079565,11.747240434738918,0.7838884139296525,10.403744389168159,12.35231261252344,646.4,25.967287112827172,615.0,680.0,0.6464000000000001,0.02596728711282719,0.615,0.68,2.300431714417544,0.2619156304184936,1.9967532467532463,2.6562499999999996,3.813423065577274e-28,8.523129590865384e-28,5.136016124067498e-51,1.9060059803046098e-27,4872.0,339.78154746836975,4504.0,5324.0,20574.4,320.230073540884,20051.0,20897.0
deathERK_ld0p5_bdR4p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,4.0,0.4,1.0,84.34924909425771,5.9054737506728525,74.7682833061078,89.12342154228133,11.905202169108401,0.8887659300107223,11.220395073427323,13.374655078088576,640.8,31.964042297556794,617.0,696.0,0.6408,0.031964042297556776,0.617,0.696,2.254689283741936,0.3477777701924205,2.0137075718015662,2.8618421052631575,9.480243740097972e-29,2.1007783459818237e-28,4.4910209758608334e-58,4.705939660046994e-28,4970.6,321.4331967921173,4457.0,5209.0,19718.0,774.6163566566355,18994.0,20939.0
deathERK_ld0p5_bdR4p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,4.0,0.8,1.0,75.34512612841822,3.8645410065168977,71.28196504063146,79.78868273466568,13.299990518291446,0.6760269039317087,12.533105770469517,14.028793951316993,652.4,17.896927110540513,623.0,667.0,0.6524,0.01789692711054053,0.623,0.667,2.3534136185697534,0.17797534598689635,2.0656498673740047,2.5037537537537533,1.2806445200993955e-30,2.863608199797764e-30,1.1756780501708626e-45,6.403222596638276e-30,4351.8,439.3901455426601,3767.0,4980.0,17901.8,184.01820562107434,17699.0,18095.0
deathERK_ld0p5_bdR4p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,0.5,2.5,3.0,4.0,1.6,1.0,76.11948764396661,6.834487229334762,70.03046203978923,84.78021556476317,13.219808132286257,1.1499912402300931,11.795204734247287,14.279500247075761,664.2,22.465529150233696,642.0,691.0,0.6641999999999999,0.022465529150233685,0.642,0.691,2.4859541266015546,0.252386426772892,2.241620111731843,2.795307443365695,8.300975947419587e-37,1.2694187535551253e-36,8.195098998788717e-56,2.8745346235440736e-36,4312.6,457.23002963497487,3774.0,4979.0,17429.6,510.67680581753467,16616.0,17928.0
deathERK_ld1p0_bdR1p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,1.0,0.4,1.0,168.83370425404388,13.806779654825757,156.4613156909898,192.08065330128997,5.952562871632487,0.45274972800277735,5.206146391179961,6.391356199349584,596.6,14.99333185119305,578.0,612.0,0.5965999999999999,0.014993331851193064,0.578,0.612,1.85207278536213,0.11475451110750588,1.7120853080568716,1.971649484536082,3.3951662884527195e-18,7.404933109334262e-18,1.5055776676959907e-26,1.6638945624206008e-17,23737.2,1660.2122454674281,22460.0,26498.0,38856.4,2361.4333147476345,37118.0,42734.0
deathERK_ld1p0_bdR1p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,1.0,0.8,1.0,112.6249196043022,7.74960868571408,106.14524168056064,124.54523089456796,8.911341572287913,0.587459878190734,8.029211498644505,9.42105349394234,625.6,15.883954167649817,608.0,644.0,0.6256,0.01588395416764983,0.608,0.644,2.0934662159947584,0.14119781674374082,1.9387755102040811,2.2612359550561796,5.637778576556359e-26,9.674534112295784e-26,5.639256993186363e-37,2.234072913876237e-25,15038.8,657.9720358799453,14263.0,15823.0,26530.4,1200.852114125632,24491.0,27393.0
deathERK_ld1p0_bdR1p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,1.0,1.6,1.0,76.88149612967595,9.119404218325295,67.94563216644053,88.66260019646681,13.149386870668474,1.502123070929841,11.278712758075077,14.717649510573198,617.8,16.037456157383563,600.0,638.0,0.6178000000000001,0.016037456157383577,0.6,0.638,2.025199508822413,0.13887258879294814,1.8749999999999996,2.2030386740331487,8.10790911035568e-24,1.7996780509411013e-23,7.0916337491396e-35,4.030108246722848e-23,10031.8,680.4452218951942,9136.0,10886.0,18318.4,599.2581246841798,17410.0,19020.0
deathERK_ld1p0_bdR2p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,2.0,0.4,1.0,78.04161041014207,6.576436462420876,68.22323621754282,84.05823075201712,12.89066783792605,1.143909723851674,11.896514964133994,14.657762595889016,620.2,21.764650238402638,585.0,645.0,0.6202,0.02176465023840266,0.585,0.645,2.049570935730497,0.18273579045189306,1.7620481927710838,2.2711267605633796,6.7348805700622e-20,1.5059650774006305e-19,2.4815696408220505e-37,3.367440284853054e-19,10217.4,564.0197691570748,9613.0,10898.0,18298.4,1214.140148417801,17263.0,19840.0
deathERK_ld1p0_bdR2p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,2.0,0.8,1.0,60.508613834633444,4.5426814351013665,53.38879577103334,64.87969720136468,16.60563173792699,1.3183702388967855,15.413142217608346,18.730521742589307,633.0,20.54263858417414,598.0,651.0,0.633,0.020542638584174155,0.598,0.651,2.1640964901247868,0.1810522116496217,1.8594527363184075,2.3316618911174776,2.834320697779705e-23,6.33773375023165e-23,1.6446747192495102e-39,1.4171603488829819e-22,7829.0,651.9620387721973,7093.0,8448.0,14591.6,620.6716523251243,13939.0,15526.0
deathERK_ld1p0_bdR2p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,2.0,1.6,1.0,48.46827958777485,1.8371191899008017,45.820910975277904,50.763622708201545,20.656038276457497,0.7915562564615792,19.699145700222783,21.82409687444969,614.0,23.853720883753127,589.0,649.0,0.614,0.02385372088375315,0.589,0.649,1.9985629205666875,0.20696490934707076,1.791362530413625,2.3112535612535607,6.683756134026618e-21,1.4798099617136226e-20,8.909829087160422e-39,3.315461106273215e-20,6106.0,281.2454444075495,5779.0,6419.0,12059.8,252.88475636146993,11713.0,12341.0
deathERK_ld1p0_bdR4p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,4.0,0.4,1.0,48.269902348583265,2.3918523784848578,44.47863941592935,50.52494584863521,20.75909836834437,1.0667320130241795,19.792203300837624,22.482702104459275,623.8,19.829271292712697,592.0,646.0,0.6238,0.019829271292712718,0.592,0.646,2.0798678970796516,0.17016784571283936,1.8137254901960782,2.281073446327683,1.1165734783764043e-21,2.4967341969692233e-21,1.0872915664755176e-37,5.582867387313631e-21,5848.0,108.84162806573595,5682.0,5975.0,11208.0,223.77220560203628,10916.0,11528.0
deathERK_ld1p0_bdR4p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,4.0,0.8,1.0,44.701849112372045,4.712743938223091,38.264804413482295,51.11234020965101,22.573427286650013,2.4193276694202566,19.56474690648542,26.133675980522145,631.6,39.71523637094459,584.0,677.0,0.6315999999999999,0.03971523637094462,0.584,0.677,2.174385320208402,0.3640271571332298,1.754807692307692,2.6199690402476774,1.1911146450600707e-19,2.66067389628058e-19,9.484380577153005e-50,5.950671288921793e-19,5373.4,709.4912261613952,4487.0,6116.0,10431.4,187.00347590352433,10283.0,10691.0
deathERK_ld1p0_bdR4p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,4.0,1.6,1.0,38.49039542024558,3.736804923480518,34.77033196686283,42.811660657006804,26.17538935115953,2.51167587938598,23.35812217170637,28.7601510665193,646.2,19.3700800204852,630.0,678.0,0.6462,0.01937008002048522,0.63,0.678,2.291995751887663,0.2039443189395713,2.128378378378378,2.6319875776397508,8.552751746247701e-33,1.5216531022562316e-32,3.604644482131949e-50,3.512221412422075e-32,4555.8,372.0197575398382,4033.0,4998.0,9420.0,274.22162569717216,9112.0,9709.0
deathERK_ld2p0_bdR1p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,1.0,0.4,1.0,138.64768095079938,8.35325928125912,127.90923737826398,146.40978827270703,7.23388157831252,0.4432986909639045,6.830144430899467,7.818043641701308,574.2,25.83989164063967,540.0,606.0,0.5742,0.025839891640639656,0.54,0.606,1.694326490838527,0.17890376349878076,1.4673913043478257,1.9225888324873093,1.686062494656783e-10,3.770044805597711e-10,8.393666432294503e-25,8.430123664735691e-10,40628.2,2200.0834529626372,36746.0,42010.0,32122.6,1178.3515180114973,30523.0,33455.0
deathERK_ld2p0_bdR1p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,1.0,0.8,1.0,83.06471151350142,7.061342771189825,75.83250518189698,94.02136350921975,12.105599984064366,0.9842268385103268,10.635880641126203,13.186957197330253,603.2,9.67987603226405,590.0,615.0,0.6032,0.009679876032264058,0.59,0.615,1.9016988039773657,0.0767316870700185,1.7987804878048776,1.9967532467532463,3.689011096161129e-21,8.214394014244327e-21,1.9060059803046098e-27,1.8383335117437698e-20,24360.4,614.0605019051461,23812.0,25343.0,19664.0,580.4877259684308,18994.0,20192.0
deathERK_ld2p0_bdR1p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,1.0,1.6,1.0,57.25510482922838,4.783470192544363,52.83551703854609,63.42812207082963,17.561080551751463,1.4280328913167257,15.765877458634337,18.926662518897114,606.2,34.549963820530984,549.0,632.0,0.6062000000000001,0.03454996382053097,0.549,0.632,1.9424192301869507,0.25992166851464693,1.5216186252771617,2.1467391304347823,4.240669127598781e-12,9.48242443935327e-12,7.638661162565123e-33,2.1203345637918177e-11,16049.6,865.1281985925555,15270.0,17248.0,13468.6,343.1512785929844,13104.0,13938.0
deathERK_ld2p0_bdR2p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,2.0,0.4,1.0,57.27562816255765,5.166742835345413,51.90582369095638,65.5678480143895,17.567304230551134,1.4987554227652577,15.251377470563627,19.26566093920269,595.8,26.0710567488163,555.0,626.0,0.5958,0.02607105674881628,0.555,0.626,1.852529947662721,0.19417589269345548,1.5589887640449434,2.0922459893048124,3.047093302248353e-13,6.813507700812678e-13,7.055524839515104e-31,1.523546640963671e-12,16036.0,1335.5635514643247,14715.0,17719.0,13832.4,113.01238870141627,13642.0,13941.0
deathERK_ld2p0_bdR2p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,2.0,0.8,1.0,39.55308871345812,5.3670199124612745,33.293249092568445,46.68753035428081,25.658251330384775,3.4778962819234205,21.41899544507197,30.036119251071085,603.4,45.047752441159595,555.0,656.0,0.6033999999999999,0.04504775244115958,0.555,0.656,1.9344010880120706,0.3596380873710334,1.5589887640449434,2.3837209302325575,3.821248198309479e-13,6.597208569116887e-13,2.2299942616562447e-41,1.523546640963671e-12,10968.2,1443.6490917116944,9279.0,12690.0,9832.2,116.50193131446363,9695.0,9982.0
deathERK_ld2p0_bdR2p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,2.0,1.6,1.0,31.661031934945964,3.379979886149002,29.03920650288314,37.33384187069953,31.848016839558376,3.090464584767144,26.785349428096854,34.436202652462825,625.6,30.65615761963655,573.0,649.0,0.6256,0.030656157619636578,0.573,0.649,2.1052207471222033,0.2528311029911558,1.6774004683840746,2.3112535612535607,4.778410734054147e-17,1.0684851225759659e-16,8.909829087160422e-39,2.3892053670270587e-16,8409.8,766.597482385639,7353.0,9501.0,7551.0,144.84992233342757,7323.0,7720.0
deathERK_ld2p0_bdR4p0_bdT0p4,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,4.0,0.4,1.0,29.161275461846024,3.2052026567540164,25.681180545087802,32.78798347869065,34.63022369035873,3.851428850744348,30.498978403167534,38.93901988829233,619.8,37.049966261793,583.0,673.0,0.6198,0.037049966261793035,0.583,0.673,2.063867084805067,0.3360994305155758,1.7476019184652274,2.5726299694189594,2.4741486229793194e-19,4.546315655771809e-19,4.3437155148118945e-48,1.0472874245684328e-18,7437.2,539.5601912669243,6508.0,7845.0,7230.0,288.7654757757582,6747.0,7483.0
deathERK_ld2p0_bdR4p0_bdT0p8,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,4.0,0.8,1.0,22.711743422037873,3.490006108483658,18.612218517821812,27.968940673563896,44.8425882229558,6.674661055304532,35.75394619593852,53.728146327234825,631.4,34.846807601271024,575.0,662.0,0.6314,0.034846807601271054,0.575,0.662,2.16394237312105,0.3011461405891117,1.691176470588235,2.4482248520710055,1.6660681276025347e-17,3.7254415884643215e-17,1.1060792268932456e-43,8.330340638011349e-17,6017.0,533.2114965002162,5541.0,6833.0,5945.0,346.6100113960934,5620.0,6459.0
deathERK_ld2p0_bdR4p0_bdT1p6,5,5,5.0,0.5,0.005,100.0,2.0,2.5,3.0,4.0,1.6,1.0,20.53223024632402,2.6019801499340476,17.24018520829494,23.70230857786479,49.33955050997969,6.2977255746057565,42.18998317041084,58.00401723752134,613.2,40.4623281584241,549.0,653.0,0.6132000000000001,0.0404623281584241,0.549,0.653,2.0083257537984,0.31976641109010917,1.5216186252771617,2.3523054755043225,4.240669127587907e-12,9.48242443935935e-12,2.9832467272401996e-40,2.1203345637918177e-11,5179.2,555.1461068943922,4611.0,6006.0,5259.2,83.33186665375977,5168.0,5379.0
