activation_regime,beta_a_R,beta_a_T,erk_regime,beta_d_R,beta_d_T,lambda_d,n_observed_deaths_analyzed_mean,n_observed_deaths_analyzed_std,n_observed_deaths_analyzed_min,n_observed_deaths_analyzed_max,analysis_time_span_mean,analysis_time_span_std,analysis_time_span_min,analysis_time_span_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,accepted_activations_during_analysis_mean,accepted_activations_during_analysis_std,accepted_activations_during_analysis_min,accepted_activations_during_analysis_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_candidates_mean,death_candidates_std,death_candidates_min,death_candidates_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,activation_candidates_mean,activation_candidates_std,activation_candidates_min,activation_candidates_max,activation_rejected_mean,activation_rejected_std,activation_rejected_min,activation_rejected_max
local_activation,5.0,3.0,reference_ERK,2.0,0.8,0.25,1000.0,0.0,1000,1000,1750.4779834361402,55.36856146497429,1644.6511847320303,1826.35866713439,0.5717936860369359,0.018319154390644646,0.5475375773637219,0.608031666096379,58555.0,1702.0891737965892,55334,60999,0.9117000000000001,0.00986632882304479,0.9,0.928,13.07311190263585,1.6659702557534,11.249999999999996,16.11111111111111,2.477329687066528e-204,0.0,7.911801379621607e-235,2.259350268660129e-203,65395.9,1461.6308585503623,62734,67821,63895.9,1461.6308585503612,61234,66321,1309437.3,30193.29561729455,1257263,1364406,1221977.7,28341.958436408564,1172866,1273574
local_activation,5.0,3.0,reference_ERK,2.0,0.8,0.5,1000.0,0.0,1000,1000,937.2732743504748,29.938994808950937,901.4467304377172,974.5368245752109,1.0679090766698232,0.034245320458253806,1.026128489742692,1.1093278906391153,31380.1,917.9740313441455,30010,32720,0.9069,0.006740425308044977,0.895,0.918,12.239906648075983,0.9774424101784955,10.654761904761902,13.993902439024387,3.4938217914383143e-199,0.0,4.325654550856077e-223,3.493799181383108e-198,69654.0,2382.80548933395,65692,74052,68154.0,2382.80548933395,64192,72552,697532.4,24344.54263370836,659476,739015,650675.8,22883.61770544352,615383,689645
local_activation,5.0,3.0,reference_ERK,2.0,0.8,1.0,1000.0,0.0,1000,1000,496.6785434851166,17.813737489070153,471.20418029724163,532.6778763565839,2.015671568313473,0.07121972942283732,1.8773071764117768,2.122222259083498,16680.9,460.1068595687545,15873,17582,0.9074,0.01657441133528162,0.867,0.924,12.56915679001036,2.014962483530694,8.148496240601501,15.19736842105263,3.96373394751789e-172,0.0,4.640807269142021e-230,3.96373394751789e-171,74372.8,1596.2075749169392,71766,76335,72872.8,1596.2075749169392,70266,74835,371707.9,8209.459103172794,358266,382148,346729.4,7879.414448069387,333714,356691
local_activation,5.0,3.0,reference_ERK,2.0,0.8,2.0,1000.0,0.0,1000,1000,285.6022187959743,9.27433421624739,270.7108057874951,301.6243113874337,3.5046924244647135,0.11363034972098868,3.3153826208508406,3.6939788830778655,9492.6,316.7590040814414,8815,9920,0.9136000000000001,0.010265367883216771,0.895,0.926,13.391627238892834,1.6345318404374818,10.654761904761902,15.64189189189189,3.4938217749966037e-199,0.0,1.972556138572983e-232,3.493799181383108e-198,84506.2,2310.589621719963,80068,88268,83006.2,2310.589621719963,78568,86768,210931.4,6011.094191391262,198274,220856,196871.3,5612.318872108232,185127,206222
local_activation,5.0,3.0,reference_ERK,2.0,0.8,4.0,1000.0,0.0,1000,1000,176.6251684803779,10.552115534166461,162.36282999013054,195.86174490014298,5.679623624760579,0.33381453009729,5.105642250403897,6.159045146360078,5883.0,234.9907799609736,5508,6255,0.9038999999999999,0.007636898730651252,0.893,0.916,11.831819601507153,1.0447354381313843,10.432242990654203,13.630952380952376,4.2288164331540774e-197,0.0,8.177396093904473e-221,3.8596383353327327e-196,105405.7,5074.880536087086,98013,114463,103905.7,5074.880536087086,96513,112963,131808.6,6377.434562580788,122625,143068,122988.6,6093.913943891526,114275,133831
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,0.25,1000.0,0.0,1000,1000,1940.6788446821167,53.36401757960125,1836.7452714507879,2021.3911582320677,0.5156366528146652,0.014274677127088796,0.4947088028596166,0.5444413090608536,64813.9,1579.6487267744037,62025,67386,0.909,0.009580071908799942,0.89,0.918,12.613985653794312,1.3530500202861002,10.113636363636362,13.993902439024387,4.145498036231227e-194,0.0,4.325654550856077e-223,4.145494764386157e-193,73209.5,1923.8786199873464,69652,75824,71709.5,1923.8786199873464,68152,74324,1460696.5,38426.64337915672,1386591,1514737,1362921.3,36371.544601209476,1292553,1413427
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,0.5,1000.0,0.0,1000,1000,1141.18993501788,39.35092821390459,1074.671015604978,1199.1733710175008,0.8772193739942376,0.030340195211040373,0.8339077769476303,0.9305173262136017,38084.5,1275.94350710889,36117,39878,0.9082000000000001,0.006373556481449105,0.9,0.921,12.429572438928872,1.0108478395761187,11.249999999999996,14.572784810126578,2.2609088235201987e-204,0.0,1.5066953678301806e-226,2.259350268660129e-203,85314.2,2255.8463206127817,80568,87999,83814.2,2255.8463206127817,79068,86499,853147.3,22835.48551438699,804124,882901,796251.9,21428.131169874167,749921,824293
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,1.0,1000.0,0.0,1000,1000,691.8903543773403,15.827825954991047,672.7425008881725,716.9918384660826,1.4459954611650019,0.033020397848753734,1.394716015372475,1.486452838463117,23094.3,451.8596266787085,22410,23778,0.9008,0.005006662228138284,0.893,0.906,11.379129290827754,0.6237613096951874,10.432242990654203,12.04787234042553,4.229394894993193e-197,0.0,9.285341886087033e-210,3.8596383353327327e-196,103639.5,1725.9491591585188,101484,106495,102139.5,1725.9491591585188,99984,104995,518293.6,8857.326411257252,506425,531733,483645.3,8493.68319596001,472473,496355
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,2.0,1000.0,0.0,1000,1000,459.60525585131444,15.882734297735004,435.55692504099886,479.56109343858907,2.1781395045144465,0.07588561618684231,2.0852400532113986,2.295911148481614,15385.3,527.1403039039982,14370,16036,0.8957,0.011944780357033693,0.879,0.917,10.89087436324842,1.5248838582476596,9.080578512396691,13.810240963855417,2.5009779851249364e-183,0.0,5.986458745597878e-222,2.5009741667048465e-182,138293.0,5223.384237148251,129752,145110,136793.0,5223.384237148251,128252,143610,345973.4,13247.957949141535,325448,364708,322764.5,12412.139006723306,303767,339909
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,4.0,1000.0,0.0,1000,1000,334.24634275828475,10.04561466189359,313.75542465607384,346.68715376380555,2.9942913618977673,0.09195495995971587,2.8844449214327965,3.1871958902261532,11388.8,386.8619621748535,10739,11871,0.8949999999999999,0.014259499757471652,0.882,0.924,10.891426619015018,1.949200286779276,9.34322033898305,15.19736842105263,6.45320589080624e-186,0.0,4.640807269142021e-230,3.224497784951725e-185,204090.8,5135.9195606369585,192944,209798,202590.8,5135.9195606369585,191444,208298,254972.8,6103.290493204829,242517,262014,237737.3,5899.6812352683755,225271,244180
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,0.25,1000.0,0.0,1000,1000,1712.2537380044912,56.10670800968736,1623.5614947555825,1827.9423803558857,0.584582737414008,0.018908913309711593,0.5470631956163235,0.615929857433915,57197.5,1852.567902489227,54968,60802,0.9093,0.009638464608017192,0.894,0.925,12.677729537319934,1.5349684744682135,10.542452830188678,15.416666666666663,3.6915049767855584e-198,0.0,3.0473445551393793e-231,3.691502717293411e-197,64265.4,1921.6423646916667,61642,67370,62765.4,1921.6423646916667,60142,65870,1287526.9,37881.01284710084,1234373,1355270,1201600.5,35466.462459468516,1151605,1265200
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,0.5,1000.0,0.0,1000,1000,855.9941002309612,38.2910391384699,788.7413517057965,903.3333809097014,1.1704090596446413,0.05411572177955632,1.1070110118071255,1.2678427444400098,28705.1,1175.5074034456595,26500,29891,0.913,0.008164965809277258,0.896,0.924,13.227514485731911,1.3061593499571325,10.769230769230766,15.19736842105263,3.2718450688556736e-200,0.0,4.640807269142021e-230,3.271845068762819e-199,64526.9,2138.028190750638,61270,68335,63026.9,2138.028190750638,59770,66835,645614.5,22338.60085268447,612930,681693,602458.3,20975.88646809051,571877,636408
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,1.0,1000.0,0.0,1000,1000,447.4509112711854,13.94311837846124,417.2015675311874,466.9180390829305,2.236886878067636,0.07154124755864308,2.1417035031760414,2.3969229212573517,14827.0,443.4152806468344,13930,15546,0.9096,0.013712929827153816,0.893,0.932,12.89109955291433,2.3152278226180965,10.432242990654203,17.132352941176467,7.7192766924635e-197,0.0,1.063171804537247e-239,3.8596383353327327e-196,66848.0,1595.8892331375782,63107,68511,65348.0,1595.8892331375794,61607,67011,333882.7,8386.199046979245,315320,342655,311671.8,7868.5922897442315,294264,319799
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,2.0,1000.0,0.0,1000,1000,231.52681270791373,6.353845050905283,221.20384893150174,241.5387171165612,4.3220709541686775,0.11814446685291463,4.140123007763688,4.520716998507839,7745.1,230.58208950393353,7429,8088,0.9107000000000001,0.01305586288054358,0.897,0.933,13.048374599488096,2.2990829596001525,10.885922330097085,17.40671641791044,3.31159275362624e-201,0.0,6.192950683925721e-241,3.031438114127357e-200,68811.5,1754.1123269493191,66235,72004,67311.5,1754.1123269493191,64735,70504,172137.5,4825.235405886661,165287,180162,160582.4,4612.868430332211,154161,168452
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,4.0,1000.0,0.0,1000,1000,123.37394321441248,10.117236616798856,102.65778629492027,135.8127763246933,8.158245248259998,0.7185440695268929,7.3630775179005115,9.741102317627924,4170.7,196.22099219445866,3806,4400,0.9077,0.011411982007229673,0.895,0.929,12.502680221298574,1.89507275865345,10.654761904761902,16.355633802816897,3.4943256572947475e-199,0.0,4.900650671173773e-236,3.493799181383108e-198,74777.7,5533.932619153703,65844,81058,73277.7,5533.932619153703,64344,79558,93414.6,6982.572515436794,82229,101241,87123.3,6708.7818409074,76264,94648
medium_activation,2.5,3.0,reference_ERK,2.0,0.8,0.25,1000.0,0.0,1000,1000,176.70122497543224,9.038595667164307,167.4992146702303,194.20013648334685,5.672188847356532,0.2808487099443823,5.149326968087649,5.970177245121917,27048.1,780.4617507888805,26143,28658,0.6507000000000001,0.023673942543555274,0.611,0.679,2.3431728739227173,0.2395177210738068,1.9633676092544983,2.6440809968847345,2.9762213898743075e-27,9.402057519609167e-27,1.363753911404464e-50,2.9734935076255e-26,6588.2,311.51771841885477,6247,7100,5088.2,311.51771841885477,4747,5600,132305.6,5901.401758151282,124149,139680,91801.2,5318.230967363323,84326,98878
medium_activation,2.5,3.0,reference_ERK,2.0,0.8,0.5,1000.0,0.0,1000,1000,103.66272289378296,9.810385447225011,89.82367379255807,117.16943179236905,9.725818908440221,0.9313357591642333,8.534649222947989,11.13292251115708,15727.4,590.7270849460763,15046,16801,0.6339,0.03207439269365312,0.572,0.67,2.187255047973241,0.29130583040865127,1.6705607476635511,2.537878787878787,4.0218233587839904e-17,1.2718119499774054e-16,7.292388752344176e-47,4.0218226014921955e-16,7843.2,612.2070818857874,6928,8703,6343.2,612.2070818857874,5428,7203,78329.6,6696.4213195474,68833,87829,54925.6,5982.872910790153,45850,63370
medium_activation,2.5,3.0,reference_ERK,2.0,0.8,1.0,1000.0,0.0,1000,1000,62.33343433987445,2.7923600458004354,56.59666051967231,65.79541576463785,16.072783685461076,0.7457018829086492,15.198627265722912,17.668887012377915,9637.9,329.6366518186688,9192,10225,0.6226,0.02839874801622232,0.572,0.668,2.079213418869362,0.25305333401899366,1.6705607476635511,2.5150602409638547,4.021823008972582e-17,1.2718119622685094e-16,4.67481964919836e-46,4.0218226014921955e-16,9356.9,342.7725031108665,8896,9842,7856.9,342.77250311086624,7396,8342,46785.2,1753.1224080986983,44173,48695,32339.8,1666.1379027892947,29818,34212
medium_activation,2.5,3.0,reference_ERK,2.0,0.8,2.0,1000.0,0.0,1000,1000,44.07171520998028,3.539845398898898,40.0436430868664,48.89628286284625,22.820838239408925,1.807720729163567,20.451452369191202,24.972752799506946,6709.0,364.86009495269406,6172,7277,0.612,0.03735416085703617,0.545,0.663,1.9982790177392822,0.3086663369682857,1.497252747252747,2.4591988130563793,1.1334197554024797e-11,3.584164280183924e-11,4.497379002222635e-44,1.1334130125463385e-10,13253.2,595.324897289987,12519,14373,11753.2,595.324897289987,11019,12873,33160.9,1521.0718041346147,31251,36090,23344.1,1576.419885549391,21136,26507
medium_activation,2.5,3.0,reference_ERK,2.0,0.8,4.0,1000.0,0.0,1000,1000,32.40590621163714,2.570740262323044,29.326721569416478,35.66644720531224,31.035208971912596,2.47602386895725,28.037555696073305,34.09859494976265,5001.5,201.7711850366922,4695,5307,0.6128,0.02105970349057916,0.565,0.637,1.9865207051601796,0.1681724082939558,1.6235632183908042,2.1935261707988976,1.3763251120742503e-15,4.352322139628027e-15,1.5635610104744767e-34,1.3763251076876006e-14,19363.5,1325.6906166640506,17676,22095,17863.5,1325.6906166640506,16176,20595,24276.0,1513.3567545911528,22172,27373,16971.3,1505.1033224038508,14598,19796
medium_activation,2.5,3.0,strong_ERK_protection,1.0,0.4,0.25,1000.0,0.0,1000,1000,298.0246606944764,19.26212158521333,277.80251809587554,334.5111292192022,3.367504782976062,0.20788831442895064,2.9894371596369482,3.59967939403227,46045.7,2039.7217702422056,43353,50229,0.6125999999999999,0.019884108674461092,0.577,0.637,1.9840992968722564,0.16162019202970979,1.7050827423167845,2.1935261707988976,2.8686472342390875e-18,9.034062308072582e-18,1.5635610104744767e-34,2.8579862795730186e-17,11216.6,519.9444842160236,10675,12227,9716.6,519.9444842160236,9175,10727,224632.0,10786.013886304596,213047,247157,156352.3,8940.621293971815,145831,174468
